id	deck	name	nationality	ethnicity	religion	gender
CO4102	A	Eric Bloodaxe	Norweign	European, Caucasian	Paganism	male
CO4103	A	Timur the Lame'	Uzbekistani	Asian	Islam, Sunni	male
EC4101	A	Adam Smith	Scottish	European, Caucasian	Christian	male
EX4101	A	Aud the Deep-Minded	Norwegian	European, Caucasian	Christian	female
EX4102	A	Danish King Godfred	Danish	European, Caucasian	Christian	male
EX4103	A	Erik Thorvaldsson	Norwegian	European, Caucasian	Norse paganism	male
EX4104	A	Francisco Pizarro	Spanish	European, Caucasian	Norse paganism	male
EX4105	A	Lewis and Clark	American	American, Caucasian	Christian	male
IN4101	A	Nikola Tesla	Croatian, American	European, Caucasian	Christian	male
LE4101	A	Abraham Lincoln	American	American, Caucasian	Christian	male
LE4102	A	David Crockett	American	American, Caucasian	Christian	male
LE4103	A	Geronimo	American	native_american		male
LE4104	A	Khutulun	Mongolian	Asian		female
MU4101	A	John Philip Sousa	American	American, Caucasian	Christian	male
PH4101	A	Epicurus	Greek	European, Caucasian		male
PI4101	A	Anne Bonny	Irish	European, Caucasian		female
PO4101	A	Hiram Rhodes Revels	American	American, Black	Christian	male
SC4101	A	Benjamin Banneker	American	American, Black	Christian	male
SC4102	A	Benjamin Franklin	American	American, Caucasian	Christian	male
SP4101	A	John Calvin	French	European, Caucasian	Christian	male
SY4101	A	Mary Elizabeth Bowser	American	American, Black	Christian	female
WA4101	A	Prince Estabrook	American	American, Black	Christian	male
AC4201	B	Eleanor Roosevelt	American	American, Caucasian	Christian	female
AC4202	B	Jane Addams	American	American, Caucasian	Christian	female
AI4201	B	Michelangelo Buonarroti	Italian	European, Caucasian	Spiritualism	male
AR4201	B	African Tribal Warriors	Mali	American, Black		male
AR4202	B	Tlingit Warriors	American	native_american		male
AR4203	B	Spanish Conquistadors	Spanish	European, Caucasian		male
AR4204	B	Spanish Armada	Spanish	European, Caucasian		male
AS4201	B	Grigori Yefimovich Rasputin	Russian	Asian, Caucasian		male
AT4201	B	Eric Liddell	American	American, Caucasian	Christian	male
AU4201	B	Samuel L Clemens	American	American, Caucasian	Christian	male
AU4202	B	Satomura Joha	Japanese	Asian		male
BU4201	B	George Westinghouse	American	American, Caucasian	Christian	male
C04201	B	Attila the Hun	Hungarian	Asian		male
CO4202	B	Gaius Julius Caesar	Roman	European, Caucasian	Roman	male
CO4203	B	Napoleon Bonaparte	French	European, Caucasian	Christian, Catholic	male
EC4201	B	Pythagoras of Samos	Greek	European, Caucasian	Pythagorean	male
EX4201	B	Captain Robert Scott	British	European, Caucasian	Christian	male
EX4202	B	Ernest Shackleton	Irish	European, Caucasian	Christian	male
EX4203	B	Ferdinand Magellan	Portugese	European, Caucasian	Christian	male
EX4204	B	Leif Ericson	Icelandic	European, Caucasian	Christian	male
EX4205	B	Mansa Musa	Malian	African	Islam	male
IN4201	B	Alexander Graham Bell	Scottish, Canadian	American, Caucasian	Agnostic	male
IN4202	B	Thomas Crapper	British	European, Caucasian	Christian	male
LE4201	B	Juliette Gordon Low	American	American, Caucasian	Christian	female
LE4202	B	Miyamoto Musashi	Japanese	Asian	Buddhist	male
LE4203	B	Pancho Villa	American	native_american		male
LE4204	B	Sitting Bull	American	native_american		male
MU2001	B	Ludwig van Beethoven	German	European, Caucasian	Christian, Catholic	male
OU3003	B	Ernesto Che Guevara	Argentine	American, Hispanic	Marxism	male
PH3001	B	Aristotle	Greek	European, Caucasian	Neoplatonism	male
PO3002	B	Wentworth Cheswell	American	American, Black	Chrisian	male
SC3005	B	Galileo Galilei	Italian	European, Caucasian	Christian, Catholic	male
SP3004	B	Mohandas Gandhi	Indian	European, Caucasian	Hindu	male
WA3004	B	Trung Sisters	Vietnamese	Asian	Buddhist	female
AC4301	C	Florence Nightingale	Italian	European, Caucasian	Christian	female
AC4302	C	Isabella Baumfree	American	American, Black	Christian	female
AI4301	C	Claude Monet	France	European, Caucasian	Atheist	male
AR4301	C	Chinese Warriors	Chinese	Asian		male
AR4302	C	Samurai Warriors	Japanese	Asian		male
AR4303	C	Tuskegee Airmen	American	American, Black		male
AR4304	C	The Persian Immortals	Persian	Arab		male
AT4301	C	Akashi Shiganosuke	Japanese	Arab	Buddhist	male
AU4301	C	Sir Walter Scott	Scottish	European, Caucasian	Christian	male
AU4302	C	William Shakespeare	British	European, Caucasian	Christian, Catholic	male
BU4301	C	Andrew Carnegie	Scottish, American	American, Caucasian	Christian	male
CO4301	C	Alexander the Great	Greek	European, Caucasian	Greek polytheism	male
CO4302	C	King Louis XIV	French	European, Caucasian	Christian, Catholic	male
CO4303	C	Pharaoh Ramses II	Egyptian	Arab	Maat	male
EC4301	C	David Ricardo	British	European, Caucasian	Jewish	male
EX4301	C	Amelia Earhart	American	American, Caucasian	Christian	female
EX4302	C	George Bass	British	European, Caucasian	Christian	male
EX4303	C	John Cabot	Italian	European, Caucasian	Christian	male
EX4304	C	Vasco Núñez de Balboa	Spanish	European, Caucasian	Christian, Catholic	male
EX4305	C	Yuri Gagarin	Russian	Asian, Caucasian	Russian Orthodox	male
IN4301	C	Johannes Gutenberg	German	European, Caucasian	Christian	male
IN4302	C	Lewis Latimer	American	American, Black	Christian	male
LE4301	C	James Madison	American	American, Caucasian	Christian	male
LE4302	C	King Ferdinand and Queen Isabella	Portugese	European, Caucasian	Christian, Catholic	female/male
LE4303	C	Queen Ahhotep I	Egyptian	Arab	Egyptian religion	female
LE4304	C	Theodore Roosevelt	American	American, Caucasian	Christian	male
MU4301	C	Wolfgang Amadeus Mozart	German	European, Caucasian	Christian, Catholic	male
OU4301	C	Lester Gillis	American	American, Caucasian	Christian	male
PH4301	C	Socrates	Greek	European, Caucasian	Monotheist	male
PO4301	C	Aaron Burr	American	American, Caucasian	Christian	male
SC4301	C	Charles Robert Darwin	British	European, Caucasian	Agnostic	male
SP4301	C	Martin Luther	German	European, Caucasian	Christian	male
SY4301	C	James Armistead	American	American, Black	Christian	male
WA4301	C	Peter Salem (Cover)	American	American, Black	Christian	male
AC4401	D	Frances Ellen Watkins Harper	American	American, Black	Christian	male
AC4402	D	Pocahontas	American	Native American	Christian	female
AI4401	D	Pablo Picasso	Spanish	European, Caucasian	Spiritualism	male
AR4401	D	The Mamelukes	Ottoman	Arab	Islam	male
AR4402	D	Janissary	Turkish	Arab	Islam	male
AR4403	D	The Billmen	French	European		male
AR4404	D	The Knights Templar	Israeli	European	Christian	male
AT4401	D	George Herman Ruth, Jr	American	American, Caucasian	Christian, Catholic	male
AU4401	D	James Weldon Johnson	American	American, Black	Christian	male
AU4402	D	Washington Irving	American	American, Caucasian	Christian	male
BU4401	D	J.P. Morgan	American	American, Caucasian	Christian	male
CO4401	D	Hernán Cortés	Spanish	European, Caucasian	Christian	male
CO4402	D	Nebuchadnezzar II	Babylonian	Arab	Babylonian polytheism	male
CO4403	D	William the Conqueror	French	European, Caucasian	Christian, Catholic	male
EC4401	D	Thales of Miletus	Turkish	Arab	Monism	male
EX4401	D	Amerigo Vespucci	Italian	European, Caucasian	Christian	male
EX4402	D	Charles Albanel	French	European, Caucasian	Christian	male
EX4403	D	Christopher Columbus	Italian	European, Caucasian	Christian	male
EX4404	D	Diego de Almagro	Spanish	European, Caucasian	Christian	male
EX4405	D	Dr. David Livingstone 	Scottish	European, Caucasian	Christian	male
IN4401	D	Hedy Lamarr	Austrian, American	American, Caucasian	Christian	male
IN4402	D	Thomas Edison	American	American, Caucasian	Christian	male
LE4401	D	King Henry VIII	British	European, Caucasian	Christian	male
LE4402	D	King Kamehameha I	American	native_american		male
LE4403	D	Robert Baden Powell	British	European, Caucasian	Christian	male
LE4404	D	Winston Churchill	British	European, Caucasian	Christian	male
MU4401	D	Claudio Monteverdi	Italian	European, Caucasian	Christian	male
PH4401	D	Plato	Greek	European, Caucasian		male
PI4401	D	Sir Francis Drake	British	European, Caucasian	Christian	male
PO4401	D	Joseph Hayne Rainey	American	American, Black	Christian	male
SC4401	D	Georges Lemaître	Belgian	European, Caucasian	Christian	male
SP3007	D	Pope Gregory	Italian	European, Caucasian	Christian	male
SY4401	D	Charles J. Guiteau	American	American, Caucasian	Christian	male
WA4401	D	Gladiatrix	Roman	European, Caucasian	Roman	male
AC4501	E	Ida Bell Wells-Barnett	American	American, Black	Christian	female
AC4502	E	Muhammad Ali Jinnah	Hindu	Arab	Muslim	male
AI4501	E	Rembrandt	Dutch	European, Caucasian	Christian	male
AR4501	E	Amazon Women Warriors	Greek	European, Caucasian		female
AR4502	E	Cherokee Warriors	American	native_american		male
AR4503	E	French Army	French	European, Caucasian		male
AR4504	E	The Great Viking Army	Scandinavian	Viking		male
AS4501	E	John Wilkes Booth	American	American, Caucasian		male
AT4501	E	Chuck Cooper	American	American, Black	Christian	male
AU4501	E	Booker T. Washington	American	American, Black	Christian	male
AU4502	E	Louisa May Alcott	American	American, Caucasian	Christian	female
BU4501	E	William Penn	British	European, Caucasian	Christian	male
CO4501	E	Adolf Hitler	Austrian, German	European, Caucasian	Christian, Catholic	male
CO4502	E	Genghis Khan	Mongolian	Asian	Buddhist	male
CO4503	E	Ivan the Terrible	Russian	Asian, Caucasian	Russian Orthodox	male
EC4501	E	Karl Marx	German	European, Caucasian	Marxism	male
EX4501	E	Charles Lindbergh	American	American, Caucasian	Christian	male
EX4502	E	Gaspar and Miguel Corte-Real	Portugese	European, Caucasian	Christian	male
EX4503	E	Jean Francois de Galaup Laperouse	French	European, Caucasian	Christian	male
EX4504	E	Percy Fawcett	British	European, Caucasian	Christian	male
EX4505	E	Gus Grissom	American	American, Caucasian	Christian	male
IN4501	E	Philo Farnsworth	American	American, Caucasian	Christian	male
IN4502	E	Wright Brothers	American	American, Caucasian	Christian	male
LE4501	E	Ho Chi Minh	Vietnamese	Arab	Buddhist	male
LE4502	E	King Tutankhamun	Egyptian	Arab	Egyptian religion	male
LE4503	E	Paul Revere	American	American, Caucasian	Christian	male
LE4504	E	Robert E. Lee	American	American, Caucasian	Christian	male
MU3004	E	Marian Anderson	American	American, Black	Christian	female
PH3007	E	Zeno of Citium	Greek	European, Caucasian	Stoicism	male
PI3002	E	Jean Fleury (Florin)	French	European, Caucasian	Christian	male
PO2002	E	Octaviano Ambrosio Larrazolo	Mexican	American, Hispanic	Christian	male
SC2001	E	Albert Einstein	German, American	European, Caucasian	Christian	male
SP3002	E	Joseph Smith Jr.	American	American, Caucasian	Christian	male
WA4501	E	Boudicea	British	Celtic	Paganism	female
AC4601	F	Harriet Tubman	American	American, Black	Christian	female
AC4602	F	Tokyo Rose	Japanese	Asian	Christian	female
AI4601	F	Raffaello Sanzio da Urbino	Italian	European, Caucasian	Christian, Catholic	male
AR4601	F	Apache	American	native_american		male
AR4602	F	French Musketeers	French	European		male
AR4603	F	Ming Warriors	Chinese	Asian		male
AR4604	F	Nicaragua Contras	Nicaraguan	American, Hispanic		male
AT4601	F	Babe Didrikson Zaharias	American	American, Caucasian	Christian	female
AU4601	F	Brothers Grimm	German	European, Caucasian	Christian	male
AU4602	F	Edgar Allen Poe	American	American, Caucasian	Christian	male
BU4601	F	Frederic "The Ice King" Tudor	American	American, Caucasian	Christian	male
CO3015	F	Ashoka The Great	Indian	Asian, Arab	Buddhist	male
CO3016	F	Mao Tse-Tung	Chinese	Asian	Buddhist	male
CO3017	F	Vlad the III, Prince of Wallachia	Romanian	European, Caucasian	Christian, Catholic	male
EC4601	F	Friedrich Hayek	Austrian, British	European, Caucasian	Christian	male
EX4601	F	Joshua Slocum	Canadian	American, Caucasian	Christian	male
EX4602	F	Pedro Alvares Cabral	Portugese	European, Caucasian	Christian	male
EX4603	F	Sir John Franklin and Francis Crozier	Irish, British	European, Caucasian	Christian	male
EX4604	F	Sir John Hawkins	British	European, Caucasian	Christian	male
EX4605	F	Laika the Dog	Russian			animal
IN4601	F	Eli Whitney	American	American, Caucasian	Christian	male
IN4602	F	Ferdinand, Graf von Zeppelin	German	European, Caucasian	Christian	male
LE4601	F	Emperor Constatine	Roman	European, Caucasian	Christian	male
LE4601	F	Allan Pinkerton	Scottish, American	American, Caucasian	Christian	male
LE4602	F	Franklin D. Roosevelt	American	American, Caucasian	Christian	male
LE4603	F	Margaret Thatcher	British	European, Caucasian	Christian	female
LE4604	F	Tsar Nicholas II	Russian	Asian, Caucasian	Christian	male
MU4601	F	George Frederick Handel	German, British	European, Caucasian	Christian	male
PH4601	F	Confucius	China	Asian	Buddhist	male
PI4601	F	Lope de Aguirre	Spain	European, Caucasian	Christian	male
PO4601	F	Romualdo Pacheco	American	Hispanic	Christian	male
SC4601	F	Otto Hahn	German	European, Caucasian	Christian	male
SP4601	F	Lemuel Haynes	American	American, Black	Christian	male
SY4601	F	Sir William Stephenson	Canadian	American, Caucasian	Christian	male
WA3006	F	Jason Cunningham	American	American, Caucasian	Christian	male
AC4701	G	Irish Volunteers	Irish	European	Christian	male
AI4701	G	Sandro Botticelli	Italian	European, Caucasian	Christian	male
AR4701	G	Cossack Warriors	Russian	Asian, Caucasian	Christian	male
AR4702	G	Kamakura Shogun Army	Japanese	Asian	Shinbutsu-shūgō	male
AR4703	G	Māori Warriors	New Zealand	Polynesian		male
AR4704	G	Soviet Red Army	Russian	Asian		male
AS4701	G	Nathuram Godse	Indian	Asian, Indian	Hindu	male
AT4701	G	Jim Thorpe	American	American, Caucasian	Christian, Catholic	male
AU4701	G	Bram Stoker	Irish	European, Caucasian	Christian, Catholic	male
AU4702	G	Robert Burns	Scottish	European, Caucasian	Christian	male
BU4701	G	Mayer Rothschild	German	European, Caucasian	Jewish	male
CO4701	G	Hannibal	Tunisian	European, Caucasian		male
CO4702	G	Qin Shi Huang	Chinese	Asian	Confucianism	male
CO4703	G	Xerxes	Achaemenid	Arab	Zoroastrianism, Xerxes	male
CO4704	G	Caesar Augustus Germanicus	Roman	European, Caucasian	Roman	male
EX4701	G	Alan B. Shepard	American	American, Caucasian	Christian	male
EX4702	G	Bessie Coleman	American	American, Black	Christian	female
EX4703	G	Sacagawea	American	native_american		female
EX4704	G	Xuanzang	Chinese	Asian		male
IN4701	G	William B. Kouwenhoven	American	American, Caucasian	Christian	male
IN4702	G	Louis Braille	French	European, Caucasian	Christian	male
LE4701	G	Felix Dzerzhinsky	Russian	Asian, Caucasian		male
LE4702	G	Oliver Cromwell	British	European, Caucasian	Christian	male
LE4703	G	Joseph Stalin	Georgian, Russian	Asian, Caucasian		male
LE4704	G	Peter the Great	Russian	Asian, Caucasian	Christian	male
MA4701	G	Emmy Noether	German, American	American, Caucasian	Christian	male
MU4701	G	Pyotr Ilyich Tchaikovsky	Russian	Asian, Caucasian		male
OU4701	G	Guy Fawkes	British	European, Caucasian		male
PH4701	G	Niccolò Machiavelli	Italian	European, Caucasian	Christian	male
PO4701	G	Maximilien Robespierre	French	European, Caucasian	Christian	male
SC4701	G	Guglielmo Marconi	Italian	European, Caucasian	Christian	male
SP4701	G	Maimonides	Spanish, Egyptian	Arab	Muslim	male
WA4701	G	Simo Häyhä	Finish	European, Caucasian	Christian	male
