id	deck	name	year	type	subtype1	subtype2	attack_strength	defense_strength	morale_add	morale_lose	strength_add	strength_lose	defense_add	defense_lose	ability_type	usage_type	frequency	when_to_play	abilities
BU4086	8	Collis Potter Huntington	1821-1900	character	businessman		40	40								CONSTANT	OO	C	ONCE: Increase your Morale by 300. CONSTANT: Move one card between North America and South America each turn.
BU4087	8	James J. Hill	1838-1916	character	businessman		40	40	500						CHOICE		OO	C	CHOOSE: Gain 500 morale or move one card (once per turn) from Canada to any US land card as long as Hill is in play.
BU4088	8	Charles M. Schwab	1847-1906	character	businessman		40	60	300						CHOICE		1	I	CHOOSE: Gain 300 Morale or INTERRUPT: cancel out the effects of Schwab's rival Andrew Carneige.
EN4081	8	Golden Spike	May 10, 1869	event			40	60									1	I	The Golden Spike allows the player to move one card anywhere in the continential US once per turn for 5 turns.
IN4081	8	Sir Henry Bessemer	1823-1891	character	inventor		80	60							CHOICE		1	I	CHOOSE: Increase your morale by 500 points or double the effect of any Businessman currently in play.
IN4082	8	Henry Ford	1863-1947	character	inventor		100	60									OO	C	The moving assembly line increases you productivity, you may play 4 cards per turn while Ford is in play.
IN4083	8	William Kelly	1811-1888	character	inventor		100	60									OO	C	Kelly's steel production methods strengthen your people, increase your civilization's defense by 700 points.
IN4084	8	Nikolaus Otto	1832-1891	character	inventor		80	100									1	I	Play Otto at the same time as an Explorer and that Explorer discovers two new lands instead of one.
IN4085	8	Cyrus McCormick	1863-1947	character	inventor		100	80									OO	C	The increase of food production by McCormick's reaper results in your Army's increased strength by 500 points.
IN4086	8	Robert H. Goddard	1882-1945	character	inventor		60	80									OO	C	Goddard's invention takes your ability to wage war to a new level, increase any one Army's strength by 500 points.
IN4087	8	 Francis E. & Freelan O. Stanley	1849-1940	character	inventor		80	80							INTERRUPT		1	H	INTERRUPT: Any one card targeted for the discard pile uses the Stanley Steamer to escape to a new land.
TE4081	8	Internal Combustion Engine		technology													2	I	The Internal Combustion Engine increases your mobility, you may attack three times per turn for the next three turns.
TE4082	8	Pneumatic Tire		technology					500						CHOICE		1	I	CHOOSE: Gain 500 morale or double the effects of either Henry Ford or the Internal Combustion Engine.
TE4083	8	Moving Assembly Line		technology													2	I	The moving assembly line increases you productivity, you may play 4 cards per turn for the next 5 turns.
TE4084	8	The Wright Flyer		technology											CHOICE		OO	C	CHOOSE: Increase strength by 500 points or double the effect of any Character card which is a pilot.
LOCR401	7	Jerusalem	1000 BC-2020	location													OO	C	This card doubles the effect of any Christian, Jewish, or Islamic Spiritual Leader.
LOCR402	7	Principality of Antioch	1098	location													OO	C	The Principality of Antioch was an epicenter of trade in antiquity. Double the effects of any Businessman you currently have in play.
LOCR403	7	Umayyad Caliphate	661–1031	location													2	H	One of your Lands in Europe, Asia, or Africa gains the reach of the Umayyad Caliphate. You can attack on those continents for two turns.
LOCR404	7	Constantinople	330-1453	location													OO	C	Because Constantinople lies on both sides of the Strait of Bosporus, any European Land can also attack in Asia and vice versa.
LOCR405	7	Holy Roman Empire	5th c.-1806	location												CONSTANT	OO	C	With Charlemagne in your Civilization—ONCE: Increase your Morale by 300. CONSTANT: Increase your Strength by 500. You may attack from Europe to Asia and vice versa.
LOCR406	7	The Holy Lance of Longinus	1098	relic												CONSTANT	2	H	ONCE: Increase your Morale by 400. CONSTANT: Due to their zeal in battle, the defender wins the second battle against the attacker.
710000	7	Peter the Hermit	1050-1115	character	spiritual_leader		100	100									1	I	Peter the Hermit inspires your people. Increase your Morale by 300.
710001	7	Pope Urban II	1035-1099	character	spiritual_leader										CHOICE		2	H	CHOOSE: Pope Urban II can either gain the help of another one of your Armies for two turns or negotiate a truce for two turns.
ASW1401	6	Gavrilo Princip		character	assassin		60	80							INTERRUPT		1	I	INTERRUPT:  One of your opponent's Leaders or Conquerors is assassinated and discarded. Discard after use.
DOW1401	6	Triple Alliance		document											INTERRUPT		1	I	INTERRUPT: This card enables you to combine the Strength of up to three of your Lands into one fighting force for two rounds.
EVW1401	6	Assassination of Archduke Ferdinand		event											INTERRUPT		1	I	INTERRUPT:  When an opponent attacks, choose one Leader or Conqueror card that opponent must discard.
EVW1402	6	Sarajevo July Crisis, 1914		event													1	I	Decrease all your opponents' Morale by 300.
EVW1403	6	Sinking of the RMS Lusitania		event											INTERRUPT		1	I	INTERRUPT:  Discard one of your opponent's Vessels or Explorer-Sea cards.
EVW1404	6	Battle of Verdun		event											INTERRUPT		1	H	INTERRUPT: After any opponent declares an attack, cut that Attack in half for one turn.
EVW1405	6	German Strategic Bombing Campaign		event						200	1000						1	I	For one turn, gain 1000 Strength, but lose 200 Morale.
TEW1401	6	Zeppelin		aircraft													OO	C	The Zeppelin gives you an additional 500 Strength against any Land that does not have an aircraft or pilot. This vessel may move between Lands, carrying two Characters per turn.
TEW1402	6	Vickers FB5		aircraft													OO	C	The Vickers FB5 gives you an additional 500 Strength against any Land that does not have an aircraft or pilot. It may also move between Lands, once per turn. 
TEW1403	6	Fokker E 1		aircraft												CONSTANT	OO	C	ONCE: For one turn, increase your     Strength by 800. CONSTANT: Afterwards, increase your Strength by 400.
LEW1401	6	Kaiser Wilhelm II		character	leader		400	300									OO	C	Kaiser Wilhelm II gains an additional 700 Defense if he fights in defense of Germany.
LEW1402	6	John J. Pershing		character	leader		500	400									OO	C	John J. Pershing's military genius allows you to have an additional Character in one Land.  It can be a second Army.
LEW1403	6	Mustafa Kemal Atatürk		character	leader		400	400									OO	C	Increase your Strength by 400 if in defense of Turkey, or in defending against another WWI Character.
LEW1404	6	Gen. William Mitchell		character	leader		600	600									OO	C	Anytime Billy Mitchell faces an Army, increase your Strength by 500.
WAW1401	6	Eddie Rickenbacker		character	warrior		600	400								CONSTANT	OO	C	ONCE: Increase your Morale by 300. CONSTANT: Increase your Strength by 400.
WAW1402	6	Manfred von Richthofen		character	warrior		800	600									OO	C	The Red Baron takes your military ability to an elite level. Increase your Strength by 500. ONCE: Increase your Morale by 100.
WAW1403	6	Billy Bishop		character	warrior		800	600									OO	C	Billy Bishop's aggressive flying style and amazing marksmanship increase your Land's Strength by 400 points. ONCE: Increase your Morale by 100.
WAW1404	6	Frederick Libby		character	warrior		700	400									OO	C	Frederick Libby's brilliant flying ability increases your Land's Strength by 400 if he has an Aircraft in the same Land. 
WAW1405	6	Douglas Campbell		character	warrior		400	300									OO	C	Douglas Campbell's brilliant flying ability increases your Land's Strength by 500 if he has an Aircraft in the same Land.
LOW1401	6	Ottoman Empire		location													1	I	A land of yours in Europe, Asia, or Africa gains the reach of the Ottoman Empire. You can attack on those continents for four turns.
ARWW401	5	The Cowboys		army			2000	1000									1	H	You automatically win the first attack against a Land being defended by a Law Enforcer.
ARWW402	5	US Marshalls	September 24, 1789	army			2000	2000									1	I	All outlaws in play must be discarded.
EVWW401	5	Earps Vendetta Ride	1882	event													1	I	If an opponent caused you to discard a Character within the last two rounds, you may choose one of that opponent’s Characters to discard.
EVWW402	5	Gunfight at the O.K. Corral	October 26, 1881	event													1	I	An opponent must discard up to two Characters in a Land you choose. One Character must remain in that Land.
EVWW403	5	Murder of Frank Stilwell	March 20, 1882	event													1	I	An opponent must discard a Character of your choice from any Land you attacked during the last three turns.
LAWW401	5	Doc Holliday	(1851-1887 ) 	character	law_enforcement		300	400									OO	C	When he occupies the same Land as an Earp brother, increase his Strength by 500.
LAWW402	5	Wyatt Earp 	(1848-1929)	character	law_enforcement		400	300									OO	C	When he occupies the same Land as Doc Holliday, increase his Strength by 500.
LAWW403	5	Bat Masterson 	(1853 - 1921)	character	law_enforcement		300	200									OO	C	When he occupies the same Land as Wyatt Earp, increase his Strength by 300.
LAWW404	5	Virgil Earp	(1843 – 1905) 	character	law_enforcement		300	400									1	I	Choose one of your opponent's Outlaws to send to the discard pile.
LOWW401	5	Tombstone, AZ		location													1	H	Move an opponent's Character card to another of his or her Lands of your choosing.
LOWW402	5	Dodge City, Kansas		location													OO	C	This card allows you to place a 5th Character on any one Land of your choice. 
LEWW401	5	Captain Joseph H. Hurst	(1836 - 1896)	character	leader		400	400									1	I	Decrease your opponent’s Morale by 100 for every Outlaw in his or her Civilization.
ORWW401	5	Pony Express	1859	organization													OO	C	Transport one Character or Army to any Land.
OUWW401	5	Mary Katherine Horony Cummings	(1850 - 1940)	character	outlaw		-100	-100									1	I	Increase your Morale by 300. You must keep her for at least two rounds.
OUWW402	5	Johnny Ringo 	(1850 - 1882)	character	outlaw		300	100									OO	C	While he is in play, decrease Wyatt Earp's Attack by 300.
OUWW403	5	William Brocius	(1845 - 1882)	character	outlaw		200	100									1	H	Discard an opponent's Character of your choice. Afterwards, this card must also be discarded.
OUWW404	5	Ike Clanton	(1847 - 1887)	character	outlaw		50	100									1	I	While defending any Land, if he loses, he may escape to another Land of your choice without harm.
OUWW405	5	Frank and Tom McLaury	1848 - 1881	character	outlaw		300	300									1	H	Discard two of your opponent's Characters of your choice. Afterwards, this card must also be discarded.
ENWW19	5	Colt Peacemaker of 1873	1873	technology													OO	C	Place this under a Character (keep it visible) and increase his or her Strength by 600 points.
ENWW20	5	Silver Mining	1858	technology													1	I	Increase your Morale by 300
ARCW401	4	Army of the Confederate States	1861–1865	army			3000	2000									OO	C	If serving in the same Land as a Confederate officer, increase its  Strength by 1000.
ARCW402	4	Union Army	1861–1865	army			3000	3000									OO	C	If serving in the same Land as a Union or other non-Confederate US military officer, increase its Strength by 1000.
EVCW401	4	Baltimore Riots (Lincoln's Martial Law)	April 19, 1861	event											INTERRUPT		1	I	INTERRUPT: Decrease your opponent's Strength by 500 for two turns and Morale by 200 permanently. 
EVCW402	4	Battle of Fort Sumter (Map)	April 12–14, 1861	event											INTERRUPT		1	I	INTERRUPT: After an opponent declares war, you may escape and transport all Characters to another Land.
EVCW403	4	Fugitive Slave Act	February 12, 1793	event													1	I	Any Character taken from you in the last two rounds must be returned to you.
EVCW404	4	Missouri's Confederate Overthrow	1861	event													1	I	Play this card and the Union Army during the same round and take back any Land taken from you during the game. 
EVCW405	4	Naval blockade	April 19, 1861	event											INTERRUPT		1	I	INTERRUPT: No water-based Explorer or Technology cards may be played for the next two rounds.
EVCW406	4	Ordinance of Secession	December 20, 1860	event													1	I	An opponent's Land of your choice must discard half of its Characters (round down).
EVCW407	4	Crittenden Compromise	February 4, 1861	event											INTERRUPT		1	I	INTERRUPT: Call a truce between you and an opponent for the next two turns. 
EVCW408	4	South Abandons Congress	March 11, 1861	event													1	I	When played, an opponent with negative Morale must discard a Land of your choice and all occupying Characters.
EVCW409	4	Revenue Act of 1861	August 5, 1861	event													1	I	Decrease all opponents' Morale by 200.
LECW401	4	Brig. Gen. P. G. T. Beauregard	1818-1893	character	leader		400	500									1	I	He blocks the ability of any opponent trying to transport Characters after war is declared.
LECW402	4	David E. Twiggs	1790-1862	character	leader		200	200									1	I	His first turn only: Increase his Strength by 1000. After that, give him to the opponent you choose, at normal Strength.
LECW403	4	Jefferson Davis	1808-1889	character	leader		400	300									OO	C	When in play, all Confederate Armies’ in play decrease their Strength by 500. ONCE: Increase your Morale by 200.
LECW404	4	Maj. Robert Anderson	1805-1871	character	leader		300	300							INTERRUPT		1	I	INTERRUPT: After an opponent declares war, you may escape and transport all Characters to another Land.
LECW405	4	President James Buchanan 	1791-1868	character	leader		200	200									OO	C	When in play, increase your Confederate Army's Strength by 500. ONCE: Decrease your Morale by 200.
LOCW401	4	 Confederate States of America "South"	1861–1865	location													1	I	With Jefferson Davis in play anywhere in the game, increase your Morale by 300.
LOCW402	4	Neutral States	1861–1865	location													1	I	For three turns: Though your opponent may attack, he or she may not take one Land, of your choice, from you.
LOCW403	4	Union States "North"	1861–1865	location													1	I	With Abraham Lincoln in play anywhere in the game, increase your Morale by 500.
TECW401	4	 Star of the West	June 17, 1852	vessel											INTERRUPT		OO	C	INTERRUPT: Transport any one Character from another Land to any Land under attack. This card may move between Lands, once per turn.
ARW2401	3	442nd Regimental Combat Team	1944 - 1969	army			4000	3000							INTERRUPT		1	I	INTERRUPT: When played, reverse the effects of any Event card.
ARW2402	3	Armia Krajowa or Home Army	1942 - 1945	army			1000	1500									1	H	ONCE: If this is the last card protecting a Land, your opponent immediately stops attacking until the next turn.
ARW2403	3	German-Italian Troop Offensive (Pact of Steel)	14387	army			3500	2000							INTERRUPT		1	I	INTERRUPT: When played, if an opponent attacks you with an Army card, the army turns on its owner for one attack.
ARW2404	3	British SAS	13696	army			3500	3000									1	I	The SAS disables your opponent's Army for one turn. That Army may not attack for one turn.
DOW2401	3	Armistice of Cassibile	15952	document											INTERRUPT		1	I	INTERRUPT: Call a cease fire with your opponent after your opponent wins his or her first attack.
EVW2401	3	D-Day Normandy	16229	event											INTERRUPT		1	I	INTERRUPT: Take back any Land that any opponent conquered in the past two turns. Occupiers must be discarded.
EVW2402	3	Operation Shingle	16093	event													1	I	Combine the Strengths of two Lands to attack an opponent's Land for one turn.
EVW2403	3	Bombing of Hamburg	1939 - 1945	event											INTERRUPT		1	I	INTERRUPT: On your opponent's turn, declare war and attack his or her Land once. This ends your opponent’s turn until the next round. 
EVW2404	3	Operation Pastorius	15493	event											INTERRUPT		1	I	INTERRUPT: Immediately stop any Event card’s effects when played against you.
EVW2405	3	Lower Dnieper Offensives	1943	event													1	I	You may attack any Land, even if separated by water.
EVW2406	3	Battle of Stalingrad	1942 - 1943	event											INTERRUPT		1	I	INTERRUPT: If your opponent wins the first attack and you play this card, the battle ends until the next turn.
EVW2407	3	Tehran Conference (Allies Meet)	November 28, 1943	event													2	H	Call a truce with any one opponent for two turns, even if that opponent doesn't want it.
LEW2401	3	Dwight Eisenhower	1890 - 1969	Leaders			700	700							INTERRUPT		OO	C	INTERRUPT: For one entire round, no player may attack.
LEW2402	3	General George S. Patton	1885 - 1945	Leaders			800	800									1	I	Due to his strategic genius, Patton outmaneuvers any Axis country. That Land loses one turn.
LEW2403	3	Major General John P. Lucas 	1890-1949	Leaders			700	500									2	H	Transport one Army to any Land, even if separated by water. 
LEW2404	3	William Knudsen	1879 - 1948	Leaders			500	300							INTERRUPT		2	H	INTERRUPT: For one entire round, you are the only player who may attack.
MUW2401	3	Billy Millin, "crazy" wartime bagpiper - 1st Special Service Brigade; Simon Fraser, 15th Lord Lovat	1922-2010	character	musician		200	200									1	I	Increase your Morale by 200. With his encouragement, double your Army's Strength for one turn only.
MAW2401	3	Poland's Enigma codebreakers	1939 - 1945	Mathmaticians			20	80							INTERRUPT		OO	C	INTERRUPT: While this card is in play, no player may look in your Land pile, deck, or hand.
TEW2401	3	Red Ball Express	16309	technology			1000	1000									2	H	Transport one Army to any Land, unless separated by water. 
WAW2401	3	Sniper Vasily Zaytsev	1915 - 1991	character	warrior		800	400							INTERRUPT		2	H	INTERRUPT: Once attacked, Zaytsev sends one Character from the attacking Land to the discard pile.
ARRW401	2	Patriot Militia	1774-1776	army			1500	2000									OO	C	When any European Character is used in an attack against the Militia’s Land, increase that Land’s  Defense by 500.
ARRW402	2	British Regulars	18th and 19th Century	army			2000	3000									OO	C	When commanded by a British Leader, increase their Strength by 500.
ARRW403	2	Minute Men	1774-1775	army			2000	2000							INTERRUPT		OO	C	INTERRUPT: If played in a North American Land, increase your Defense by 500 and Attack by 300.
DORW401	2	Join or Die	1754	document											INTERRUPT		1	I	INTERRUPT: Choose a Character card from your discard pile to rejoin the fight for a Land that is under attack. 
EVRW401	2	Battle on Concord	April 19, 1775	event											INTERRUPT		1	I	INTERRUPT – You win the second attack by an opponent.
EVRW402	2	Battle on Lexington Green	April 19, 1775	event											INTERRUPT		1	I	INTERRUPT: If you lose the first attack, before the second attack starts, your remaining Characters in that Land may retreat to another Land.
EVRW403	2	Revolutionary War First Day	April 19, 1775	event											INTERRUPT		1	I	INTERRUPT: If there is one defender left in a Land and it is under attack, your opponent must stop attacking until the next turn.
LERW401	2	Captain Parker	1729-1775	character	leader		400	300									1	H	If a Land Parker’s occupies loses the first attack, he automatically wins the second attack.  
LERW402	2	Dr. Joseph Warren	1741-1775	character	leader		400	300									1	H	Warren will turn any of your opponent’s Spies or Assassins into double agents and you may use their Abilities against their owner.
LERW403	2	Lieutenant Colonel Francis Smith	1723-1791	character	leader		500	400							CHOICE		1	H	CHOICE: You may double the Attack of any Army he commands but after two turns the Army retreats to the discard pile.
LERW404	2	Brigadier General Hugh Percy.	1742-1817	character	leader		400	500							INTERRUPT		1	H	INTERRUPT: If another Land in the same continent is under attack, Percy and an Army from his Land will help defend them for one turn.
LERW405	2	James Barrett	1710-1779	character	leader		500	400									1	I	If the Land he is occupying is attacked, Barrett wins the first battle. 
LERW406	2	King George	1895-1952	character	leader		600	400							CHOICE		2	H	CHOICE: You may join two Armies to fight in your Land, for two turns, but you must decrease your Morale by 300.
LERW407	2	Major John Pitcairn 	1722-1775	character	leader		400	500									1	I	ONCE: Increase your Morale by 400 until he is used for battle. Then take away 200 of those points.
LERW408	2	Lieutenant General Thomas Gage - British	1718-1787	character	leader		400	400							CHOICE		1	I	CHOICE: You may double the Attack of any other Leader in the Land he occupies, but decrease your Morale by 200.
LORW401	2	Old North Church - Two lantern	1723-1775	location											INTERRUPT		1	I	INTERRUPT – Warn your Civilization of an impending attack. Increase your Defense by 2000 for one turn.
LORW402	2	Port of Boston	1630-2020	location													1	H	Increase your Morale by 300 if you have a Businessman in your Civilization.
LORW403	2	North Bridge of Concord	April 19, 1775	location												CONSTANT	OO	C	The battle turns in your favor—ONCE: Increase your Morale by 200. CONSTANT: Increase one Land's Attack by 400.
SYRW401	2	Margaret Kemble Gage	1734–1824	character	spy		40	40									2	H	Turn one of your opponent’s Characters into a spy and steal 1000 of your opponent’s Attack points and add that to your Defense.
WARW401	2	Robert Newman and Captain John Pulling	1754-1804	character	warrior		300	300							INTERRUPT		1	H	INTERRUPT: They risk their safety to warn your citizens. Increase your Defense by 1000 for one turn.
ARRR401	1	Celtic Tribes	58-51 BC	army			2000	3000									1	H	For one turn only, if you win an attack on your opponent, you may steal 400 Morale. 
CORR401	1	Caesar Augustus	63 BC-14 AD	character	conqueror		1000	1000									2	H	Augustus breaks any one treaty or peace agreement in any Land.
CORR402	1	Marcus Lepiduss	89-13 BC	character	conqueror		800	800									1	H	If Lepidus and two Roman Leaders or Conquerors are in your Civilization at one time, you may take one of your opponent’s Lands for your own.
EVRR401	1	Cimbrian War	113–101 BC	event											INTERRUPT		1	I	INTERRUPT: When an opponent wins his or her first attack against one of your Lands, a peace treaty ensues in which they may not attack your Civilization for the rest of that turn.
EVRR402	1	Roman Civil War	49–45 BC	event													1	I	Decrease your opponent’s Morale by 400. 
EVRR403	1	Cleopatra and Marc Anthony	83-30 BC	event											INTERRUPT		1	I	INTERRUPT: After your last Character in one of your Lands dies and it is taken, disaster strikes. That opponent then loses 300 Morale. 
EVRR404	1	Gladiator Wars	73–71 BC	event													1	I	Rebellion grows in your opponent’s Land. All Characters with fewer than 100 Attack are sent off to the discard pile. 
EVRR405	1	Hannibal Wars (2nd Punic War)	218 – 201 BC	event													1	I	Choose one of your opponent’s Lands to be blocked from adding any new Characters for the next two rounds. 
EVRR406	1	Latin Wars	340–338 BC	event													1	I	Any of your Lands taken within the last two turns are now returned. Your opponent’s Characters in that Land are exiled to the discard pile.
EVRR407	1	Roman Republic Expansion	146-31 BC	event													1	I	You confiscate two Lands from an opponent’s Land pile when you give one active Land to that player. All cards from that Land must be discarded. That Land is now theirs to play on their next turn.
EVRR408	1	The Jugurthine War 	112–106 BC	event													1	I	Retrieve any Land that was taken from you within the last two turns. Your opponent’s Characters in that Land are exiled to the discard pile.
MLRR401	1	Fabius Maximus	280–203 BC	character	leader		500	600									2	H	Patience is your virtue. Your opponent may win the first attack against your Land, but you automatically win the second.
ORRR401	1	The Executive Magistrate	510-44 BC	organization													1	H	Choose a Character as magistrate.  All Characters in that Land are given the same Strength as the magistrate for one turn only.
ORRR402	1	The Legislative Assembly	509–27 BC	organization													1	I	Your Morale will not decrease for the next two turns. Increase your Morale an additional 200 for each of those two turns.
ORRR403	1	The Senate	753 BC-476 AD	organization													1	I	You gain control of any opponent's Organization in play. Move it to your Civilization or discard it.
PIRR401	1	Cilician Pirates	2nd c. - 66 BC	character	outlaw		400	200									OO	C	Double the pirates’ Attack unless you face another Roman Leader or Conqueror.
POE001	1	Gnaeus Pompeius Magnus	106-48 BC	character	politician		500	400									1	H	Double the Strength of any Army under Magnus's command. After the end of the round, he is assassinated and must be discarded.
TEE001	1	Roman Ballista	400 BC	technology											INTERRUPT		1	I	INTERRUPT: Eliminate one of your opponent’s Character cards.
WAE002	1	Roman Centurion	107 BC	character	warrior		800	800								CONSTANT	OO	C	For showing valor—ONCE: Increase your Morale by 200. CONSTANT: Increase Strength by 500 when fighting a Land with an Army.
WAE003	1	Sparticus	111-71 BC	character	warrior		700	300									1	H	Spartacus inspires your people. For each Character with less than 100 Attack points, multiply their Strength by 10 for two rounds.
AC4701	G	Irish Volunteers	1913-?	character	activist		400	500		200					CHOICE		1	I	CHOICE: Increase your Morale by 400 due to the Volunteers’ passion for freedom OR each of  your opponents lose 200 Morale for each European Land. 
AR4701	G	Cossack Warriors	ca 1200s-?	army			3000	2000									OO	C	When the Cossack Warriors win their first attack, increase their Attack by 500 against that opponent.
AR4702	G	Kamakura Shogun Army	1185-1333	army			4000	3000									2	H	After an initial attack on the Asian Land this Army is defending, you can utilize that opponent's second attack to counterattack. 
AR4703	G	Māori Warriors	1320-2020	army			3000	2000									OO	H	When attacking from the South Pacific, the Maori gain 1000 Attack for their first attack each turn.
AR4704	G	Soviet Red Army	1917-1991	army			4000	4000		100							OO	C	If in Russia with Lenin or Dzerzhinsky, gain 1000 Attack.  US lands defeated by the Red Army lose 100 Morale per lost battle.
AI4701	G	Sandro Botticelli	ca. 1445-1510	character	artist		20	20		200					CHOICE		1	I	CHOICE: Increase your Morale by 300 from his brilliance OR your opponents lose 200 Morale due to nightmares from Dante's Inferno.
AS4701	G	Nathuram Godse	1910-1949	character	assassin		0	0							INTERRUPT		1	I	INTERRUPT: Assassinate one of your opponent's Characters. Decrease opponent's Morale by 200. Discard this card after use.
AT4701	G	Jim Thorpe	1887-1953	character	athlete		40	40									1	I	Jim Thorpe inspires your people. Increase your Morale by 300.
AU4701	G	Bram Stoker	1847-1912	character	author		40	20	300								1	I	Dracula entertains your Civilization and frightens your opponents.  You gain 300 Morale; they lose 200.
AU4702	G	Robert Burns	1759-1796	character	author		20	40									1	I	Robert Burns’s poetry inspires your people. Increase your Morale by 200. If he resides in the United Kingdom, increase your Morale by 400.
BU4701	G	Mayer Rothschild	1744-1812	character	businessman		200	200									OO	C	Rothschild's financial brilliance and ability to acquire military resources increases one Army's Strength by 50%.
CO4701	G	Hannibal	247-181 BC	character	conqueror		1000	800									OO	C	Increase your Strength by 1000 when attacking a Land with no Leader.
CO4702	G	Qin Shi Huang	260-210 BC	character	conqueror		600	1000									OO	C	If Huang is fighting in an Asian Land, increase your Strength by 1000.
CO4703	G	Xerxes	518-465 BC	character	conqueror		800	600									OO	C	Increase his Strength by 1000 if occupying an Asian Land.
CO4704	G	Caesar Augustus Germanicus	13849	character	conqueror		800	600									1	I	Select one opponent's Character card to go insane... that player loses your opponent 200 Morale each turn, until discarded.
RE4701	G	Code of Hammurabi	18th c. BC	relic													1	I	For the next 3 turns, all cards decreasing your Morale are transferred to an opponent of your choice.
DO4701	G	Malleus Maleficarum	1486	document													1	I	Accuse one opponent of witchcraft.  He or she is forced to discard one Spiritual Leader and loses 500 Morale points.
EN4701	G	Bela Lugosi	1882-1956	character	entertainer		20	40							CHOICE		1	I	CHOICE: Increase your Morale by 300 for entertaining your Civilization OR one of your opponents loses 300 Morale out of fear.
EV4701	G	Vesuvius Eruption	79 AD	event						500					INTERRUPT		1	I	INTERRUPT: Vesuvius destroys an opponent's Land. He or she must discard the Land and lose 500 Morale. 
EV4705	G	Galveston Hurricane of 1900	1900	event						400							1	I	Select one opponent's Land to face the hurricane. He or she must discard half that Land's Characters (round up) and lose 400 Morale.
